,1969Y,1970Y,1971Y,1972Y,1973Y,1974Y,1975Y,1976Y,1977Y,1978Y,1979Y,1980Y,1981Y,1982Y,1983Y,1984Y,1985Y,1986Y,1987Y,1988Y,1989Y,1990Y,1991Y,1992Y,1993Y,1994Y,1995Y,1996Y,1997Y,1998Y,1999Y,2000Y,2001Y,2002Y,2003Y,2004Y,2005Y,2006Y,2007Y,2008Y,2009Y,2010Y,2011Y,2012Y,2013Y,2014Y,2015Y,2016Y,2017Y,2018Y,2019Y,2020Y,2021Y,2022Y,2023Y
nbi_m_5054_ebb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.0178914974999,67.5514757499999,61.42980643,60.50634732,52.5313640375001,52.1593740274999,53.84692583,49.52718967175,47.72829946825,53.427238667,56.83531466,54.6034884672501,53.9167741657499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nbi_m_5054_ebb_nr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.31948159275,70.85306584525,65.4126639855001,64.59044007825,55.92276430875,55.18556605025,57.4106988160001,53.3171607555,50.94652341875,56.46260586275,59.61233308325,57.4836330895,57.2183642610001,59.7142987249999,NA,NA,NA,NA,NA,NA,NA,NA,NA
nbi_m_5559_ebb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.5192629325,128.7557829875,131.9619102775,126.4756222425,127.2131189875,126.92467671,99.0023042700001,86.7666465709999,79.8095476432501,80.5474025232501,78.19452182425,73.6567141287501,74.9383406352502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nbi_m_5559_ebb_nr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.72474152525,132.96126158025,139.56407500025,134.0123180235,134.8797447055,132.90465777925,105.55528626675,93.1337928659998,85.267050589,85.3205442014999,82.3483109207501,77.13317167175,79.1438192280001,81.1329547479999,NA,NA,NA,NA,NA,NA,NA,NA,NA
nbi_m_6064_ebb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281.341016835,267.8907856025,265.7625354025,275.676165185,277.7565165275,286.712582265,285.5032724025,272.98073390225,273.0041748665,269.83215774575,261.59795997775,231.41828900675,190.417086179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nbi_m_6064_ebb_nr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289.07106410325,275.62083287075,271.82587332925,282.193249645249,285.25292850125,293.485102005251,294.755332524,283.151815074499,282.01705705275,278.143717098999,269.318376911501,238.714553977501,198.14713344725,184.178323365,NA,NA,NA,NA,NA,NA,NA,NA,NA
nbi_m_6569_ebb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278.33119764,276.7467229825,280.202923235001,285.0860450275,289.516075549999,297.039645145001,298.396725194999,303.783758505001,310.074757347748,318.810563821499,340.45419355025,358.063772054,377.069308861749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nbi_m_6569_ebb_nr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278.306428276751,276.721953619251,277.508095360751,282.83110640625,288.212432967,295.298999931,296.547876336001,302.862027815998,308.803212607249,318.50648643,339.2439853795,358.476599294751,377.0445394985,376.170527613499,NA,NA,NA,NA,NA,NA,NA,NA,NA
nbi_m_7074_ebb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234.6942529025,237.349361667499,241.387521614999,243.7540278725,242.7705535925,245.300704849999,248.270212567499,257.27743609825,259.729873236,266.52357812975,278.166758904001,280.49734251375,291.034966415749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nbi_m_7074_ebb_nr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234.792713047251,237.447821812251,240.085731801749,243.123988298501,242.185292598,244.55323067,247.2648601815,256.6453450845,258.62531452875,266.081473949,278.51769002,280.613536451,291.1334265605,302.57516793775,NA,NA,NA,NA,NA,NA,NA,NA,NA
nbi_m_7599_ebb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311.6244429675,318.396682275001,325.675604547499,333.658647835,345.76821498,356.29978616,368.195167295,379.784805168499,392.801286498999,406.037707921251,418.849089876499,429.59492556475,442.461991762249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nbi_m_7599_ebb_nr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311.551627654501,318.323866962002,325.709248258499,333.584567105,345.76760424475,356.184704616501,368.162783222749,379.715690979751,392.851766325248,406.034802953501,418.78668514625,429.514613809249,442.38917644925,458.56600793375,NA,NA,NA,NA,NA,NA,NA,NA,NA
